state;voters;state_id
Alabama;9;Alabama
Alaska;3;Alaska
Arizona;11;Arizona
Arkansas;6;Arkansas
California;55;Californie
Colorado;9;Colorado
Connecticut;7;Connecticut
Delaware;3;Delaware
District of Columbia;3;District_de_Columbia
Florida;29;Floride
Georgia;16;Georgie
Hawaii;4;Hawai
Idaho;4;Idaho
Illinois;20;Illinois
Indiana;11;Indiana
Iowa;6;Iowa
Kansas;6;Kansas
Kentucky;8;Kentucky
Louisiana;8;Louisiane
Maine;4;Maine
Maryland;10;Maryland
Massachusetts;11;Massachusetts
Michigan;16;Michigan
Minnesota;10;Minnesota
Mississippi;6;Mississippi
Missouri;10;Missouri
Montana;3;Montana
Nebraska;5;Nebraska
Nevada;6;Nevada
New Hampshire;4;New_Hampshire
New Jersey;14;New_Jersey
New Mexico;5;Nouveau_Mexique
New York;29;New_York
North Carolina;15;Caroline_du_Nord
North Dakota;3;Dakota_du_Nord
Ohio;18;Ohio
Oklahoma;7;Oklahoma
Oregon;7;Oregon
Pennsylvania;20;Pennsylvanie
Rhode Island;4;Rhode_Island
South Carolina;9;Caroline_du_Sud
South Dakota;3;Dakota_du_Sud
Tennessee;11;Tennessee
Texas;38;Texas
Utah;6;Utah
Vermont;3;Vermont
Virginia;13;Virginie
Washington;12;Washington
West Virginia;5;Virginie_Occidentale
Wisconsin;10;Wisconsin
Wyoming;3;Wyoming
